Date,Source,Title,URL,Location,Stance Score,Confidence,Risk Score,Stakeholders,Themes,Mobilization,Narrative Frame,Key Quotes
2025-12-17,The Hill,Cash-strapped Americans shouldn’t fund Big Tech’s data centers,https://thehill.com/opinion/technology/5651351-utility-bills-ai-growth/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,The Current,Port Wentworth panel advises against data centers,https://thecurrentga.org/2025/12/16/port-wentworth-panel-advises-against-data-centers/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,Savannah Morning News,Port Wentworth Planning Commission votes 'no' on data center ordinance,https://www.savannahnow.com/story/news/local/2025/12/17/port-wentworth-looking-to-add-data-centers-to-ordinances/87718700007/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,Flagpole,Athens-Clarke County Planners Propose Regulations for Data Centers,https://flagpole.com/news/city-dope/2025/12/17/athens-clarke-county-planners-propose-regulations-for-data-centers/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-05,AccessWdun,"Data center developers remove special use application for data center, approved for light industrial",https://accesswdun.com/news/data-center-developers-remove-special-use-application-for-data-center-approved-for-light-industrial,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,Southern Environmental Law Center,New report exposes inflated load growth projections from data centers in the Southeast,https://www.selc.org/press-release/new-report-exposes-inflated-load-growth-projections-from-data-centers-in-the-southeast/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-04,WSB-TV,Plans for $1.2B data center abandoned in Hall County,https://www.wsbtv.com/news/local/hall-county/plans-12b-data-center-abandoned-hall-county/3T36FITZWRBMXD5USUERFBILRY/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,AJC.com,DeKalb extends data center moratorium 6 months,https://www.ajc.com/news/2025/12/dekalb-extends-data-center-moratorium-6-months/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-02,Canary Media,Georgia hashes out plan to let data centers build…,https://www.canarymedia.com/articles/clean-energy/georgia-data-centers-build-clean-energy,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,11Alive.com,Commissioners vote to extend moratorium on data centers to June 2026,https://www.11alive.com/article/news/local/dekalb-county-commissions-vote-on-data-center-regulations/85-0236aca5-709e-4dac-9f67-91f3cdceb705,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-03,WJCL,Georgia Power seeks $15 billion expansion to boost capacity as data centers surge,https://www.wjcl.com/article/georgia-power-data-centers/69718761,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-10-22,Georgia Public Broadcasting,A ‘wave’ of data center ordinances sweep through GA counties. How strict are they?,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
